participant;gender;educational_background;word;position_inside_the_word;preceding_vowel;word_category;F3 Midpoint;F4 Midpoint;F3 Average;F4 Average
pr02;man;doctor;llegar;final;a;verb;2634.24718617296;2952.2761725040737;2658.6480566846803;2981.5565217968374
pr02;man;doctor;york ;final;o;noun;2244.4376684264116;2873.9818088131406;2096.3054098642333;2923.6649233924923
pr02;man;doctor;invierno;internal ;e;noun;2539.221236245563;3494.8732590651553;2435.7441082144182;3335.1435820827464
pr02;man;doctor;fuerte ;internal ;e;adjective;2466.0735548258253;4006.9281796320774;2356.7324837792585;3632.5393591060133
pr02;man;doctor;intimidar;final;a;verb;2870.1948357501205;4053.139750388733;2785.277134911679;3957.538241263236
pr02;man;doctor;mejor;final;o;adjective;2415.449020105066;3564.9235878834147;2232.1508352041947;3317.3991405130923
pr02;man;doctor;puertorriqueños;internal ;e;noun;2337.5191819186557;3333.572740308988;2367.6057284714593;3387.694861510145
pr02;man;doctor;estar;final;a;verb;1856.378769020376;3120.5726864587505;1866.150379545062;3113.1877611370574
pr02;man;doctor;cierta;internal ;e;adjective;2613.3434285640756;3656.284893647682;2673.162881954993;3765.9614586028792
pr02;man;doctor;fuerte ;internal ;e;adjective;2391.1348874525947;3439.8917455902492;2387.7906771864646;3318.5549438822804
pr02;man;doctor;mar;final;a;noun;2359.9431119926394;3008.835523161373;2832.6075335019036;3569.4532433724735
pr02;man;doctor;calor;final;o;noun;2347.3776418287957;2616.878814361432;2519.5097924112447;3162.3479017250756
pr02;man;doctor;detenerse;internal ;e;verb;2816.7180927881113;3795.9085295938817;2822.423506438173;3891.4897636680435
pr02;man;doctor;por;final;o;preposition;2381.864928398584;2629.0118326296933;2391.4899632347533;2649.1714424659617
pr02;man;doctor;puertas;internal ;e;noun;2474.8290085911894;2824.4833123099106;2427.2341584381775;3478.8176387554568
pr02;man;doctor;poder;final;e;verb;2571.3937188656446;3766.8840333647086;2576.8084813466303;3805.254698002974
pr02;man;doctor;ganar;final;a;verb;3020.9507752185646;3998.2446836886566;2682.4508511128456;3659.4943874234687
pr02;man;doctor;enviar;final;a;verb;2579.5546802521385;3860.626410261225;2596.4231536155485;3905.382535167044
